Block Group,2027 Total Population
131350502.392,"2,330"
131350502.393,"1,695"
131350502.401,"2,169"
131350502.402,"1,868"
131350502.411,"1,449"
131350502.412,"1,506"
131350502.413,"2,281"
131350502.421,"2,919"
131350502.422,"2,113"
131350502.431,"2,144"
131350502.432,935
131350502.433,"3,667"
131350502.441,"1,194"
131350502.442,"1,849"
131350505.281,"3,024"
131350505.282,"2,363"
131350505.291,"1,215"
131350505.292,"2,133"
131350505.293,"2,411"
131350505.493,"1,468"
131350505.651,"1,988"
131350505.652,"1,705"
131350505.653,919
131350505.662,"2,827"
131350505.722,"2,117"
131350505.732,"2,017"
131350505.781,"2,642"
131350505.782,"1,767"
131350505.791,"1,575"
131350505.792,"1,865"
131350505.793,"1,374"
131350505.831,"1,493"
131350505.841,"1,178"
131350505.842,"1,347"
131350505.843,633
131350505.844,"1,323"
131350506.111,"1,929"
131350506.112,"1,467"
131350506.113,"1,858"
131350506.121,"3,648"
131350506.122,"2,253"
131350506.131,"1,165"
131350506.132,"1,567"
131350506.133,"1,442"
131350506.141,"2,206"
131350506.142,"1,480"
131350506.151,"1,773"
131350506.152,583
131350506.161,"2,474"
131350506.162,"1,760"
131350506.171,"2,085"
131350506.172,"1,840"
131350506.173,"1,097"
131350506.174,"3,299"
131350506.175,"2,033"
131350506.181,"2,203"
131350506.182,"1,052"
131350506.183,"1,514"
131350506.191,"2,950"
131350506.192,"1,986"
131350506.193,"2,885"
131350506.201,"1,542"
131350506.202,"2,645"
131350506.211,"2,429"
131350506.212,"1,960"
131350506.273,"1,371"
131350506.281,"1,443"
131350506.282,"3,993"
131350506.283,"1,596"
131350506.291,"2,304"
131350506.301,"2,890"
131350506.302,"1,988"
131350506.311,"1,597"
131350506.312,"1,566"
131350506.313,"3,533"
131350506.314,"1,747"
131350506.321,"1,552"
131350506.322,"1,982"
131350506.331,965
131350506.332,"2,940"
131350506.341,"1,956"
131350506.342,"1,804"
131350506.343,"4,398"
131350506.351,"2,263"
131350506.352,"1,918"
131350506.361,"3,774"
131350506.362,907
131390001.012,"2,604"
131390001.021,"2,307"
131390001.022,"1,934"
131390002.051,"2,747"
131390003.042,"2,364"
131390003.052,"2,257"
131390003.061,"1,120"
131390003.062,"1,374"
131390003.071,"1,948"
131390003.072,"2,257"
131390004.011,"1,498"
131390004.012,"2,181"
131390004.021,"1,724"
131390005.011,997
131390005.012,"1,728"
131390005.013,988
131390005.021,926
131390005.022,"2,564"
131390006.011,567
131390006.012,"1,258"
131390006.013,"1,492"
131390006.021,"1,233"
131390006.022,"3,314"
131390007.021,"2,984"
131390007.022,"2,193"
131390007.031,"1,612"
131390007.032,"1,875"
131390007.041,"2,665"
131390007.042,"1,210"
131390008.001,763
131390008.002,"1,111"
131390008.003,"1,383"
131390009.011,"1,607"
131390009.012,"1,501"
131390009.021,"1,548"
131390009.022,"1,231"
131390010.041,"1,273"
131390010.042,"1,835"
131390010.051,"2,231"
131390010.052,"2,008"
131390010.061,"1,891"
131390010.062,"1,251"
131390010.071,"2,113"
131390010.081,"1,812"
131390010.082,"1,081"
131390010.083,"1,357"
131390011.011,"2,249"
131390011.012,"1,814"
131390011.013,"1,959"
131390011.021,"1,553"
131390011.022,"3,153"
131390012.021,"1,866"
131390012.022,"2,332"
131390012.023,"1,014"
131390012.024,"1,245"
131390012.031,"2,312"
131390012.041,"1,414"
131390012.042,"2,281"
131390012.043,"1,749"
131390013.021,"3,331"
131390013.022,"2,466"
131390013.031,"1,441"
131390013.032,"1,641"
131390013.041,860
131390013.042,"3,213"
131390014.021,"1,056"
131390014.022,"2,796"
131390014.023,"1,930"
131390014.041,"1,750"
131390014.042,842
131390014.043,"2,108"
131390014.044,"2,399"
131390014.051,"2,209"
131390014.052,974
131390014.061,"4,001"
131390014.062,"1,377"
131390015.011,"2,649"
131390015.012,"1,506"
131390015.013,"2,153"
131390015.021,"2,086"
131390015.022,"2,701"
131390016.031,"2,212"
131390016.032,"1,721"
131390016.033,"1,504"
131390016.051,"2,130"
131390016.052,"1,815"
131390016.053,"1,584"
131390016.061,"1,877"
131390016.062,"4,185"
131390016.071,"2,581"
131390016.072,"3,050"
131390016.073,"1,570"
131390016.091,"1,327"
131390016.092,"2,176"
131390016.093,"1,969"
131390016.101,"2,528"
131390016.102,922
131390016.111,"1,967"
131390016.112,"4,154"
131390016.121,"2,015"
131390016.122,954
131570101.041,"4,047"
131570101.042,"1,991"
131570101.051,"1,675"
131570101.052,"2,469"
131570101.061,"5,442"
131570101.062,"2,062"
131570101.071,"1,994"
131570101.072,"1,501"
131570101.073,"3,237"
131570101.081,"2,089"
131570101.082,"2,275"
131570101.091,"2,410"
131570101.092,"3,334"
131570102.001,648
131570102.002,"1,665"
131570102.003,"2,298"
131570102.004,"1,227"
131570103.001,"1,580"
131570106.011,"1,598"
131570106.012,"2,216"
131570106.013,"1,405"
131570106.022,"1,849"
131570106.023,"2,046"
131570107.011,"1,698"
131570107.012,926
131570107.031,"2,329"
131570107.032,"1,640"
131570107.041,"1,794"
131570107.042,"2,184"
131570107.051,"1,269"
131570107.052,"2,468"
131570107.053,"1,358"
131570107.061,"1,195"
131570107.062,996
131570107.063,"1,983"
130119701.001,"1,163"
130119701.002,898
130119701.003,"1,548"
130119701.004,962
130119702.002,"1,126"
130119704.001,"2,044"
130119704.002,"1,526"
130859701.011,693
130859701.012,"1,015"
130859701.022,"3,098"
130859701.031,881
130859701.032,"2,068"
130859702.031,"2,228"
130859702.051,823
130859702.062,"1,395"
131370002.011,"1,940"
131370004.001,"1,285"
131370004.002,"1,120"
131370004.003,"1,108"
131370004.004,"1,665"
131370005.011,"1,536"
131370005.012,988
131370005.021,"1,967"
131370005.022,"1,417"
131370005.023,"2,309"
131370006.011,"1,797"
131370006.012,869
131370006.013,"1,040"
131370006.014,"2,287"
131370006.031,"1,560"
131370006.032,"1,722"
131370006.041,"1,077"
131370006.042,"1,889"
131370006.043,"1,598"
131370006.044,"1,111"
131390001.011,"3,080"
131390002.031,"2,531"
131390002.032,"2,331"
131390002.041,"2,180"
131390002.042,"2,219"
131390002.061,"2,035"
131390002.062,"1,929"
131390003.031,"1,691"
131390003.032,896
131390003.041,"2,277"
131390003.051,"1,162"
131390003.053,793
131390004.022,"1,406"
131570103.002,733
131570103.003,"1,129"
131570103.004,"2,528"
131570104.001,"1,256"
131879601.031,"1,188"
131879601.032,"1,885"
131879601.041,"1,192"
131879601.042,955
131879601.043,"2,171"
131879601.051,"1,287"
131879601.062,"2,280"
131879602.031,"2,278"
131879602.032,997
131879602.033,"1,124"
131879602.041,"3,520"
131879602.042,876
131879602.051,"3,069"
131879602.052,"1,069"
131879602.053,"1,291"
131879602.061,647
131879602.062,"2,297"
131879602.063,"1,154"
131879602.064,"2,497"
132270501.011,"2,415"
132270501.021,597
132270501.022,501
132270501.024,"1,433"
132270506.021,598
132270506.022,"1,624"
132579704.012,"1,701"
133119502.071,"1,860"
133119502.072,"1,054"
133119502.073,"1,520"
133119503.011,"1,341"
133119503.012,"2,632"
133119503.021,876
133119503.022,"1,180"
