Block Group,HH_below Poverty_Value,Percentage of 2020 Total Households (ACS 5-Yr)
131570101.051,0,0.00%
131570101.052,54,8.71%
131570101.061,75,13.04%
131570101.062,77,16.42%
131570101.071,0,0.00%
131570101.081,54,8.26%
131570101.082,83,14.56%
131570101.091,0,0.00%
131570101.092,12,1.48%
131570102.001,21,9.25%
131570102.002,75,10.81%
131570102.003,73,13.13%
131570102.004,76,24.60%
131570103.001,57,10.20%
131570106.011,68,14.91%
131570106.013,0,0.00%
131570107.011,171,22.77%
131570107.012,0,0.00%
131570107.041,15,3.84%
131570107.042,0,0.00%
131570107.051,0,0.00%
131570107.052,0,0.00%
131570107.053,0,0.00%
131570107.061,0,0.00%
131570107.062,107,34.97%
131570107.063,112,15.80%
131879601.042,0,0.00%
131879601.043,31,4.68%
131879602.051,169,13.62%
131879602.061,48,21.24%
131879602.062,75,13.35%
132270501.011,15,1.22%
132270501.021,21,5.11%
132270501.024,38,6.46%
132270502.021,57,12.75%
132270502.022,34,12.69%
132270505.001,95,14.64%
132270506.011,28,8.67%
132270506.012,20,2.64%
132270506.013,65,8.86%
132270506.021,0,0.00%
132270506.022,91,20.82%
