,Unnamed: 0,Parcel ID,Address,County,State,Sale Date,Sale Price,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,Neighborhood,lat,long
79,79,08024 006202,4414 SW CHESTNUT OAK WAY,Hall County,Georgia,2/24/2022,"$513,921.00 ",0.18,Residential,2021,1630,$315.29 ,08018B White Oak Park @ MM,34.2528513,-83.8682685
80,80,08111 003290,5960 SCREECH OWL DR,Hall County,Georgia,2/24/2022,"$398,990.00 ",0.15,Residential,2021,2613,$152.69 ,08111 Summit Lake,34.1917354,-83.9253994
81,81,15042 000484,7006 BRANCH CREEK CV,Hall County,Georgia,2/24/2022,"$455,930.00 ",0.27,Residential,2021,2162,$210.88 ,05662 Lancaster,34.0110911,-83.9840376
82,82,08065 000295,5315 SCHOONER CT,Hall County,Georgia,2/24/2022,"$422,765.00 ",0.15,Residential,2021,2062,$205.03 ,08065 Stephens Point,34.2425232,-83.9112486
83,83,08100 001174,6019 PARK BAY CT,Hall County,Georgia,2/24/2022,"$335,100.00 ",0.28,Residential,2021,2863,$117.05 ,08105 PARK WALK AT LANIER,34.2134578,-83.9231364
84,84,10010 000015,6040 BLUEWATER BLVD,Hall County,Georgia,2/24/2022,"$697,500.00 ",1.79,Residential,2021,0,$0.00 ,L47001 - DOCKSIDE COVE,34.3821485,-83.9670219
85,85,08075 002050A,5622 BARBERRY AVE,Hall County,Georgia,2/24/2022,"$324,990.00 ",0.12,Residential,2021,2211,$146.99 ,08075 Prescott,34.2206923,-83.9035122
86,86,08075 002051A,5626 BARBERRY AVE,Hall County,Georgia,2/24/2022,"$327,990.00 ",0.12,Residential,2021,2616,$125.38 ,08075 Prescott,34.2206923,-83.9035122
87,87,09126 000099,2011 RIVERWOOD DR,Hall County,Georgia,2/24/2022,"$699,000.00 ",1.22,Residential,2021,3480,$200.86 ,L37031 RIVERWOOD,34.3389832,-83.8105261
88,88,08024 005330,4328 SW ROCKROSE GREEN WAY,Hall County,Georgia,2/23/2022,"$400,000.00 ",0.19,Residential,2020,2056,$194.55 ,08018A Chestnut Park @ MM,34.2505753,-83.8714266
89,89,15047G000062,6875 SCARLET OAK WAY,Hall County,Georgia,2/23/2022,"$452,985.00 ",0.15,Residential,2021,2748,$164.84 ,05037K STERLING KNUTSON,34.1571762,-83.9137314
90,90,08075 002049A,5618 BARBERRY AVE,Hall County,Georgia,2/23/2022,"$340,990.00 ",0.14,Residential,2021,2496,$136.61 ,08075 Prescott,34.2206923,-83.9035122
91,91,15041 000373,5636 WILLOW SPRINGS PL,Hall County,Georgia,2/22/2022,"$797,293.00 ",0.18,Residential,2021,2622,$304.08 ,05013A DEL WEBB @ CHATEAU ELAN,34.1116669,-83.8525162
92,92,15042 000581,7045 BRANCH CREEK CV,Hall County,Georgia,2/22/2022,"$416,475.00 ",0.16,Residential,2021,2124,$196.08 ,05662 Lancaster,34.0110911,-83.9840376
93,93,15042 000628,6832 BENJAMIN DR,Hall County,Georgia,2/22/2022,"$475,855.00 ",0.31,Residential,2021,3398,$140.04 ,05661 Cambridge,34.1425148,-83.8880078
94,94,08065 000345,5138 WATCHMANS CV,Hall County,Georgia,2/18/2022,"$399,800.00 ",0.16,Residential,2021,1939,$206.19 ,08065 Stephens Point,34.2424616,-83.9100071
95,95,10028 000067,5904 WATERTON CT,Hall County,Georgia,2/18/2022,"$420,000.00 ",0.68,Residential,2020,3080,$136.36 ,01026 GRANT STATION,34.3803171,-83.950507
96,96,15042 000634,6907 MANCHESTER DR,Hall County,Georgia,2/18/2022,"$443,780.00 ",0.35,Residential,2021,3454,$128.48 ,05661 Cambridge,34.143152,-83.887425
97,97,10034 002012,3756 LEACH RD,Hall County,Georgia,2/18/2022,"$220,000.00 ",0.59,Residential,2022,1344,$0.00 ,01025 OFF LAWSON WHELCHEL/LEACH/WILLIE ROBINSON RD,34.354828,-83.936683
